,PLAYER_ID,full_name,SEASON_ID,SEASON_EXP,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,POSITION,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF,PTS,is_active
705,1000,Shandon Anderson,2004-05,10,0,TOT,31.0,Guard-Forward,66,5.0,1170.0,98,217,5.0,29.0,54,66,41.0,150.0,70,40.0,14.0,50.0,138,255,False
706,1000,Shandon Anderson,2005-06,10,1610612748,MIA,32.0,Guard-Forward,48,1.0,638.0,54,126,5.0,19.0,13,18,18.0,63.0,30,17.0,6.0,24.0,75,126,False
711,335,Willie Anderson,1992-93,8,1610612759,SAN,26.0,Guard-Forward,38,7.0,560.0,80,186,1.0,8.0,22,28,7.0,50.0,79,14.0,6.0,44.0,52,183,False
712,335,Willie Anderson,1993-94,8,1610612759,SAN,27.0,Guard-Forward,80,79.0,2488.0,394,837,22.0,68.0,145,171,68.0,174.0,347,71.0,46.0,153.0,187,955,False
713,335,Willie Anderson,1994-95,8,1610612759,SAN,28.0,Guard-Forward,38,11.0,556.0,76,162,3.0,19.0,30,41,15.0,40.0,52,26.0,10.0,38.0,71,185,False
714,335,Willie Anderson,1995-96,8,1610612761,TOR,29.0,Guard-Forward,49,42.0,1564.0,232,527,29.0,95.0,113,132,35.0,151.0,149,58.0,51.0,119.0,171,606,False
715,335,Willie Anderson,1995-96,8,1610612752,NYK,29.0,Guard-Forward,27,2.0,496.0,56,133,5.0,25.0,19,31,13.0,47.0,48,17.0,8.0,24.0,59,136,False
716,335,Willie Anderson,1995-96,8,0,TOT,29.0,Guard-Forward,76,44.0,2060.0,288,660,34.0,120.0,132,163,48.0,198.0,197,75.0,59.0,143.0,230,742,False
717,335,Willie Anderson,1996-97,8,1610612748,MIA,30.0,Guard-Forward,28,1.0,301.0,29,64,8.0,19.0,17,20,15.0,27.0,34,14.0,4.0,19.0,36,83,False
1161,1628407,Dwayne Bacon,2017-18,5,1610612766,CHA,22.0,Guard-Forward,53,6.0,713.0,72,192,11.0,43.0,20,25,4.0,120.0,38,16.0,2.0,23.0,46,175,True
1162,1628407,Dwayne Bacon,2018-19,5,1610612766,CHA,23.0,Guard-Forward,43,13.0,759.0,122,257,38.0,87.0,34,46,8.0,81.0,47,12.0,5.0,18.0,72,316,True
1163,1628407,Dwayne Bacon,2019-20,5,1610612766,CHA,24.0,Guard-Forward,39,11.0,687.0,85,244,19.0,67.0,35,53,15.0,85.0,52,23.0,2.0,37.0,52,224,True
1164,1628407,Dwayne Bacon,2020-21,5,1610612753,ORL,25.0,Guard-Forward,72,50.0,1853.0,292,726,59.0,207.0,145,176,31.0,193.0,93,45.0,5.0,46.0,103,788,True
1700,201587,Nicolas Batum,2008-09,13,1610612757,POR,20.0,Guard-Forward,79,76.0,1454.0,161,361,62.0,168.0,42,52,84.0,136.0,74,50.0,40.0,50.0,139,426,True
1701,201587,Nicolas Batum,2009-10,13,1610612757,POR,21.0,Guard-Forward,37,25.0,918.0,139,268,54.0,132.0,43,51,32.0,109.0,44,24.0,25.0,27.0,83,375,True
